Value 1,Value 2,Result, 
224,962,0.23284823284823286,
791,949,0.8335089567966281,
932,226,4.123893805309734,
522,103,5.067961165048544,
532,768,0.6927083333333334,
119,358,0.3324022346368715,
922,574,1.6062717770034842,
774,626,1.2364217252396166,
718,128,5.609375,
420,173,2.4277456647398843,
546,10,54.6,
325,827,0.39298669891172916,
784,851,0.9212690951821386,
944,611,1.5450081833060556,
874,209,4.181818181818182,
102,493,0.20689655172413793,
701,87,8.057471264367816,
616,808,0.7623762376237624,
